number,exchange,id,value,margin_rate,spread,unit,commodity
56,CCFX,T,100,0.0005,0.015,10000,10年期国债
57,CCFX,TF,100,0.0005,0.025,10000,5年期国债
58,CCFX,TS,100,0.0005,0.025,20000,2年期国债
37,XSGE,au,250,0.04,0.05,1000,黄金
52,XINE,sc,480,0.07,0.1,1000,原油
6,XZCE,ZC,600,0.05,0.2,100,动力煤
28,XDCE,fb,60,0.2,0.25,500,纤维板
22,XDCE,i,600,0.1,0.5,100,铁矿石
21,XDCE,jm,1300,0.12,0.5,60,焦煤
30,XDCE,a,2500,0.07,1,10,豆一
38,XSGE,ag,3500,0.04,1,15,白银
34,XDCE,c,2000,0.07,1,10,玉米
35,XDCE,cs,2300,0.07,1,10,玉米淀粉
23,XDCE,eg,5000,0.05,1,10,乙二醇
1,XZCE,FG,1300,0.05,1,20,玻璃
48,XSGE,fu,3000,0.08,1,10,燃料油
53,CCFX,IF,4000,0.15,1,300,沪深300
55,CCFX,IH,3000,0.15,1,300,上证50
36,XDCE,jd,4000,0.08,1,5,鸡蛋
2,XZCE,MA,2500,0.05,1,10,甲醇
11,XZCE,OI,7000,0.05,1,10,菜油
24,XDCE,pp,9000,0.07,1,5,聚丙烯
12,XZCE,RM,2200,0.05,1,10,菜粕
7,XZCE,SR,5500,0.05,1,10,白糖
54,CCFX,IC,6000,0.15,1.2,200,中证500
20,XDCE,j,2000,0.12,1.5,100,焦炭
31,XDCE,b,3500,0.05,2,10,豆二
49,XSGE,bu,3500,0.04,2,10,沥青
47,XSGE,hc,4000,0.04,2,10,热轧卷板
33,XDCE,m,2500,0.07,2,10,豆粕
45,XSGE,rb,4000,0.05,2,10,螺纹钢
5,XZCE,SF,5500,0.05,2,5,硅铁
50,XSGE,sp,5000,0.1,2,10,纸浆
3,XZCE,TA,6000,0.05,2,5,PTA
32,XDCE,y,5500,0.05,2,10,豆油
29,XDCE,p,4500,0.05,4,10,棕榈油
4,XZCE,SM,7300,0.05,4,5,锰硅
42,XSGE,al,15000,0.05,5,5,铝
18,XZCE,AP,8000,0.08,5,10,苹果
8,XZCE,CF,15000,0.05,5,5,棉花
19,XZCE,CJ,8800,0.07,5,5,红枣
26,XDCE,l,8500,0.07,5,5,橡胶
43,XSGE,pb,15000,0.05,5,5,铅
51,XSGE,ru,10000,0.05,5,10,天然橡胶
25,XDCE,v,7000,0.07,5,5,聚氯乙烯
40,XSGE,zn,20000,0.05,5,5,锌
27,XDCE,bb,150,0.2,5.2,500,胶合板
17,XZCE,WH,2500,0.05,9,20,强麦
39,XSGE,cu,50000,0.05,10,5,铜
41,XSGE,ni,100000,0.05,10,1,镍
9,XZCE,CY,24000,0.05,50,5,棉纱
13,XZCE,JR,2800,0.05,100,20,粳稻
15,XZCE,LR,2500,0.05,100,20,晚籼稻
16,XZCE,PM,2500,0.05,100,50,普麦
14,XZCE,RI,2500,0.05,100,20,早籼稻
44,XSGE,sn,15000,0.05,240,5,锡
10,XZCE,RS,4300,0.05,250,10,菜籽
46,XSGE,wr,4000,0.05,250,10,线材
