number,exchange,id,value,syl
1,XSHG,601398,20100,6.14
2,XSHG,601939,17400,5.66
3,XSHG,601318,14600,8.01
4,XSHG,601857,13100,31.91
5,XSHG,601288,12900,5.26
6,XSHG,600519,11500,25.52
7,XSHG,601988,11300,5.55
8,XSHG,600036,8638,8.56
9,XSHG,601628,7617,7.31
10,XSHG,600028,6550,11.09
11,XSHG,601328,4433,5.26
12,XSHE,858,4058,15.67
13,XSHG,601319,4024,17.09
14,XSHG,600900,3788,32.48
15,XSHG,601088,3676,7.3
16,XSHG,601299,3675,91.2
17,XSHG,601166,3673,4.67
18,XSHE,333,3328,13.57
19,XSHG,600000,3264,4.96
20,XSHE,651,3255,14.34
21,XSHG,601601,3245,14.81
22,XSHE,2,3070,68.48
24,XSHG,600104,2838,8.6
23,XSHG,601998,2838,5.37
25,XSHG,600276,2738,57.4
26,XSHG,601138,2705,23.53
27,XSHG,600016,2684,4.25
28,XSHG,603288,2634,44.58
29,XSHG,600030,2490,14.62
30,XSHE,2415,2339,38.07
31,XSHG,601668,2338,6.6
32,XSHG,601766,2293,32.2
33,XSHE,1,2129,7.15
34,XSHG,600585,2109,8.67
35,XSHE,300498,2034,-110.45
36,XSHG,601818,2031,5.22
37,XSHG,600050,1853,28.51
38,XSHG,601066,1833,30.8
39,XSHG,600887,1824,20.04
40,XSHG,601800,1786,11.36
41,XSHE,300760,1769,43.97
42,XSHE,2304,1760,10.94
43,XSHG,600018,1757,22.85
44,XSHE,1979,1737,16.53
45,XSHG,601336,1710,12.69
46,XSHG,601688,1582,14.23
47,XSHE,300750,1549,36.98
48,XSHG,600019,1546,14.18
49,XSHG,601888,1498,16.24
50,XSHG,601390,1473,9.58
51,XSHG,601211,1465,12.19
52,XSHG,601360,1462,56.47
53,XSHG,600048,1455,15.68
54,XSHG,600837,1417,9.4
55,XSHE,2352,1356,26.83
56,XSHE,2594,1353,45.12
57,XSHG,600009,1327,23.84
58,XSHG,601186,1286,8.27
59,XSHG,601229,1244,6.19
60,XSHG,601006,1243,7.76
61,XSHG,600309,1238,11.07
62,XSHG,601169,1237,4.88
63,XSHG,601111,1235,11.34
64,XSHE,2714,1235,-57.06
65,XSHE,63,1223,35.43
66,XSHE,2142,1221,9.01
67,XSHE,725,1201,28.54
68,XSHG,601989,1192,56.32
69,XSHE,166,1187,15.93
70,XSHG,600015,1154,6.27
71,XSHG,601238,1125,10.12
72,XSHE,617,1101,13.08
73,XSHE,568,1081,17.84
74,XSHG,601881,1057,17.25
75,XSHG,600031,1054,8.18
77,XSHE,24,1043,35.26
76,XSHG,600999,1043,12.26
78,XSHE,2024,1032,189.96
79,XSHG,600690,1022,11.96
80,XSHE,776,1003,8.59
81,XSHG,600989,999,24.47
82,XSHG,600011,995,9.37
83,XSHE,2736,995,13.2
84,XSHG,601933,957,21.29
85,XSHE,338,935,9.02
86,XSHG,603259,933,60.34
87,XSHG,600406,896,292.49
88,XSHG,600340,887,7.48
89,XSHE,300015,885,74.11
90,XSHG,601225,884,7.97
91,XSHG,600029,884,8.35
92,XSHG,600115,880,10.96
93,XSHE,300059,876,56.8
94,XSHG,601985,875,15.76
95,XSHE,2475,874,35.47
96,XSHG,603993,864,67.11
97,XSHG,600346,851,42.09
98,XSHG,601012,850,34.76
99,XSHG,600919,840,5.57
100,XSHE,895,833,16.28
101,XSHG,600606,826,4.69
102,XSHE,538,822,24.28
103,XSHG,601155,814,98.39
104,XSHG,601727,801,26.25
105,XSHG,600010,798,40.93
106,XSHG,601633,796,25.73
107,XSHE,2027,794,58.32
108,XSHE,876,783,29.39
109,XSHG,601669,763,9.76
110,XSHG,601899,744,21.27
111,XSHG,600832,739,69.16
112,XSHE,2607,737,173.51
113,XSHG,600958,734,14.46
114,XSHE,2493,728,30.08
115,XSHG,600663,720,20.64
116,XSHG,601009,704,5.3
117,XSHG,601600,700,39.31
118,XSHG,600025,697,21.65
119,XSHG,600547,675,46.11
120,XSHE,2120,672,29.65
121,XSHG,600600,657,20.35
122,XSHE,300122,654,32.55
123,XSHG,600196,648,22.75
124,XSHG,600332,645,11.46
125,XSHG,600436,643,39.74
126,XSHG,600741,639,8.65
127,XSHG,601898,634,10.28
128,XSHG,600023,631,14.79
129,XSHG,601618,626,8.86
130,XSHE,2230,616,151.27
131,XSHG,601901,612,26.02
132,XSHG,601018,598,19.45
133,XSHG,601919,592,21.54
134,XSHG,600438,587,29.93
135,XSHG,600352,584,11.56
136,XSHG,600588,584,177.52
137,XSHG,601991,583,33.91
138,XSHE,2032,573,27.81
139,XSHE,938,571,37.86
140,XSHE,69,569,11.87
141,XSHG,600688,563,23.04
142,XSHE,2938,562,75.96
143,XSHG,600660,548,22.59
144,XSHE,596,543,17.34
145,XSHG,600377,534,12.91
147,XSHG,600893,533,3410.57
146,XSHE,723,533,35.64
148,XSHG,601607,532,11.82
149,XSHG,600188,530,5.73
150,XSHG,600061,529,10.87
151,XSHG,600383,523,8.72
152,XSHG,601788,519,9.84
